[dataset1 | NeuralNet] Baseline CV-F1=0.7280 → Tuned CV-F1=0.7138 (Δ=-0.0142, -1.95%), Params={"mlpclassifier__alpha": 0.001, "mlpclassifier__early_stopping": true, "mlpclassifier__hidden_layer_sizes": [100, 100], "mlpclassifier__learning_rate_init": 0.01, "mlpclassifier__max_iter": 300}
[dataset1 | RandomForest] Baseline CV-F1=0.8896 → Tuned CV-F1=0.9024 (Δ=+0.0127, +1.43%), Params={"randomforestclassifier__class_weight": "balanced", "randomforestclassifier__max_depth": 20, "randomforestclassifier__max_features": "log2", "randomforestclassifier__min_samples_split": 5, "randomforestclassifier__n_estimators": 300}
[dataset1 | SVM_rbf] Baseline CV-F1=0.6710 → Tuned CV-F1=0.7483 (Δ=+0.0774, +11.53%), Params={"svc__C": 100, "svc__class_weight": null, "svc__gamma": "auto"}
[dataset2 | NeuralNet] Baseline CV-F1=0.9999 → Tuned CV-F1=0.9999 (Δ=-0.0000, -0.00%), Params={"mlpclassifier__alpha": 0.0001, "mlpclassifier__early_stopping": true, "mlpclassifier__hidden_layer_sizes": [200], "mlpclassifier__learning_rate_init": 0.001, "mlpclassifier__max_iter": 300}
[dataset2 | RandomForest] Baseline CV-F1=1.0000 → Tuned CV-F1=1.0000 (Δ=+0.0000, +0.00%), Params={"randomforestclassifier__class_weight": null, "randomforestclassifier__max_depth": null, "randomforestclassifier__max_features": null, "randomforestclassifier__min_samples_split": 5, "randomforestclassifier__n_estimators": 100}
[dataset2 | SVM_rbf] Baseline CV-F1=0.9998 → Tuned CV-F1=0.9999 (Δ=+0.0001, +0.01%), Params={"svc__C": 100, "svc__class_weight": null, "svc__gamma": 0.001}
[dataset3 | NeuralNet] Baseline CV-F1=1.0000 → Tuned CV-F1=0.9884 (Δ=-0.0116, -1.16%), Params={"mlpclassifier__alpha": 0.01, "mlpclassifier__early_stopping": true, "mlpclassifier__hidden_layer_sizes": [100, 100], "mlpclassifier__learning_rate_init": 0.01, "mlpclassifier__max_iter": 300}
[dataset3 | RandomForest] Baseline CV-F1=0.9931 → Tuned CV-F1=1.0000 (Δ=+0.0069, +0.70%), Params={"randomforestclassifier__class_weight": "balanced", "randomforestclassifier__max_depth": null, "randomforestclassifier__max_features": null, "randomforestclassifier__min_samples_split": 2, "randomforestclassifier__n_estimators": 100}
[dataset3 | SVM_rbf] Baseline CV-F1=0.9137 → Tuned CV-F1=0.9885 (Δ=+0.0748, +8.18%), Params={"svc__C": 100, "svc__class_weight": null, "svc__gamma": "auto"}
[dataset4 | NeuralNet] Baseline CV-F1=0.6762 → Tuned CV-F1=0.6852 (Δ=+0.0091, +1.34%), Params={"mlpclassifier__alpha": 0.01, "mlpclassifier__early_stopping": true, "mlpclassifier__hidden_layer_sizes": [200], "mlpclassifier__learning_rate_init": 0.01, "mlpclassifier__max_iter": 300}
[dataset4 | RandomForest] Baseline CV-F1=0.6804 → Tuned CV-F1=0.7033 (Δ=+0.0229, +3.37%), Params={"randomforestclassifier__class_weight": "balanced", "randomforestclassifier__max_depth": 10, "randomforestclassifier__max_features": "log2", "randomforestclassifier__min_samples_split": 2, "randomforestclassifier__n_estimators": 300}
[dataset4 | SVM_rbf] Baseline CV-F1=0.6699 → Tuned CV-F1=0.6936 (Δ=+0.0236, +3.53%), Params={"svc__C": 1, "svc__class_weight": "balanced", "svc__gamma": "auto"}
